X,Y,Z,Yaw
-0.00022091582388993752,-0.004430908837240545,-0.06320049402605457,-0.007473607490546754
-0.00022090888304872498,-0.004430870975822333,-0.06320049768980346,-0.007473773226241755
-0.00022090888304872498,-0.004430870975822333,-0.06320049768980346,-0.007473773226241755
-0.00022083540028038778,-0.00443090814241668,-0.0632004910154303,-0.00747361229521031
-0.00022083540028038778,-0.00443090814241668,-0.0632004910154303,-0.00747361229521031
-0.00022082766721929874,-0.004430869863007239,-0.06320049441616943,-0.007473781125155685
-0.00022082766721929874,-0.004430869863007239,-0.06320049441616943,-0.007473781125155685
-0.0002207555845520192,-0.004430907053532964,-0.06320048779371429,-0.007473615239135256
-0.0002207555845520192,-0.004430907053532964,-0.06320048779371429,-0.007473615239135256
-0.00022074848298849967,-0.00443086916713099,-0.06320049139270759,-0.007473783653777941
-0.00022074848298849967,-0.00443086916713099,-0.06320049139270759,-0.007473783653777941
-0.0002206764559909702,-0.004430906375114653,-0.06320048464242439,-0.007473618038745216
-0.0002206764559909702,-0.004430906375114653,-0.06320048464242439,-0.007473618038745216
-0.00022066893996356383,-0.004430868597762479,-0.06320048817662152,-0.00747378752312382
-0.00022066893996356383,-0.004430868597762479,-0.06320048817662152,-0.00747378752312382
-0.0002205968812135587,-0.004430905863864777,-0.06320048153277652,-0.007473621265903891
-0.0002205968812135587,-0.004430905863864777,-0.06320048153277652,-0.007473621265903891
-0.00022058987142254197,-0.0044308678550340555,-0.06320048510999357,-0.007473789854964197
-0.00022058987142254197,-0.0044308678550340555,-0.06320048510999357,-0.007473789854964197
-0.0002205178768326984,-0.004430904937232284,-0.06320047833799244,-0.007473624262452121
-0.0002205178768326984,-0.004430904937232284,-0.06320047833799244,-0.007473624262452121
-0.0002205103609774703,-0.004430867151605462,-0.06320048187926308,-0.0074737936300913665
-0.0002205103609774703,-0.004430867151605462,-0.06320048187926308,-0.0074737936300913665
-0.00022043829253420334,-0.004430904369740574,-0.06320047524122982,-0.0074736274941982084
-0.00022043829253420334,-0.004430904369740574,-0.06320047524122982,-0.0074736274941982084
-0.00022043134479527576,-0.004430866334757297,-0.06320047882592306,-0.0074737963584159284
-0.00022043134479527576,-0.004430866334757297,-0.06320047882592306,-0.0074737963584159284
-0.0002203593705799086,-0.0044309034101218114,-0.06320047205941196,-0.007473630839994406
-0.0002203593705799086,-0.0044309034101218114,-0.06320047205941196,-0.007473630839994406
-0.00022035247507233915,-0.004430865681651495,-0.06320047573233387,-0.007473797150655064
-0.00022035247507233915,-0.004430865681651495,-0.06320047573233387,-0.007473797150655064
-0.000220279457809721,-0.0044309031566988274,-0.0632004690671796,-0.00747363399259815
-0.000220279457809721,-0.0044309031566988274,-0.0632004690671796,-0.00747363399259815
-0.0002202717411304133,-0.004430865159358321,-0.06320047247649585,-0.007473803428629672
-0.0002202717411304133,-0.004430865159358321,-0.06320047247649585,-0.007473803428629672
-0.00022019894022626968,-0.004430902040779547,-0.06320046591837397,-0.007473641580687239
-0.00022019219395736332,-0.004430863823013598,-0.06320046949210231,-0.007473806764750092
-0.00022019894022626968,-0.004430902040779547,-0.06320046591837397,-0.007473641580687239
-0.00022011893200865433,-0.0044309016413349965,-0.06320046278539507,-0.007473643189732822
-0.00022011171290415785,-0.004430863882114274,-0.06320046618764133,-0.0074738126359691175
-0.00022019219395736332,-0.004430863823013598,-0.06320046949210231,-0.007473806764750092
-0.0002200388028067296,-0.0044309008058088205,-0.06320045950660225,-0.007473651700639763
-0.00022011893200865433,-0.0044309016413349965,-0.06320046278539507,-0.007473643189732822
-0.00022011171290415785,-0.004430863882114274,-0.06320046618764133,-0.0074738126359691175
-0.000220032030418418,-0.0044308625311133,-0.06320046304029395,-0.007473817693966108
-0.00021995941985142146,-0.004430900635913001,-0.06320045634604843,-0.007473651229487661
-0.0002200388028067296,-0.0044309008058088205,-0.06320045950660225,-0.007473651700639763
-0.00021995260168568287,-0.004430862993482554,-0.06320045985986411,-0.007473817999719664
-0.0002198794381524441,-0.004430900631314617,-0.06320045315509443,-0.0074736553097995385
-0.000220032030418418,-0.0044308625311133,-0.06320046304029395,-0.007473817693966108
